답사여부,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
X,홍성군청,05-Jan,2005-03-02,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,320,12,280,,시·군나무,전,,,,충청남도 홍성군 서부면 신리 310-1,36.5407588,126.5026956,2023-12-31
X,홍성군청,8-12-10-245,1982-10-01,,거목,회화나무,Sophora japonica L.,회화나무,1,306,22,350,,시·군나무,대,,,,충청남도 홍성군 갈산면 내갈리 129,36.6083133,126.5642906,2023-12-31
X,홍성군청,8-12-5-231,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,305,15,430,,시·군나무,임야,,,,충청남도 홍성군 홍동면 원천리 산19-1,36.5411237,126.6629171,2023-12-31
X,홍성군청,8-12-2-216,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,305,19,380,,시·군나무,전,,,,충청남도 홍성군 광천읍 매현리 165,36.5227446,126.6302333,2023-12-31
X,홍성군청,8-12-3-221,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,305,18,350,,시·군나무,전,,,,충청남도 홍성군 홍북면 대인리 421,36.6466848,126.738925,2023-12-31
X,홍성군청,8-12-1-212,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,304,20,360,,시·군나무,대,,,,충청남도 홍성군 홍성읍 월산리 134-2,36.6035904,126.64269,2023-12-31
X,홍성군청,8-12-6-233,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,304,22,350,,시·군나무,대,,,,충청남도 홍성군 장곡면 도산리265,36.5084618,126.6966662,2023-12-31
X,홍성군청,8-12-7-236,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,303,16,530,,시·군나무,임야,,,,충청남도 홍성군 은하면 금국리 산111-1,36.5594384,126.5663436,2023-12-31
X,홍성군청,8-12-6-232,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,303,16,360,,시·군나무,대,,,,충청남도 홍성군 장곡면 지정리 450,36.5291317,126.709016,2023-12-31
X,홍성군청,8-12-2-214,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,302,18,400,,시·군나무,임야,,,,충청남도 홍성군 광천읍 옹암리 산26,36.4883783,126.6169634,2023-12-31
X,홍성군청,13-Jan,2013-09-05,,거목,버드나무,Salix koreensis Andersson,버드나무,1,300,10,470,,시·군나무,대,,,,충청남도 홍성군 홍성읍 오관리 98,36.6013022,126.6586968,2023-12-31
X,홍성군청,13-Jun,2013-09-05,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,2,300,10,470,,시·군나무,대,,,,충청남도 홍성군 홍동면 팔괘리 307,36.5752284,126.6956284,2023-12-31
X,홍성군청,13-Aug,2013-09-05,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,300,10,470,,시·군나무,대,,,,충청남도 홍성군 장곡면 광성리 220,36.4756234,126.6768301,2023-12-31
X,홍성군청,13-Apr,2013-09-05,,거목,버드나무,Salix koreensis Andersson,버드나무,2,300,10,430,,시·군나무,대,,,,충청남도 홍성군 홍성읍 오관리 112,36.6012112,126.6595824,2023-12-31
X,홍성군청,8-12-6-234,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,295,18,380,,시·군나무,도로,,,,충청남도 홍성군 장곡면 오성리 189-2,36.4896604,126.6621401,2023-12-31
X,홍성군청,8-12-6-235,1982-10-01,,거목,은행나무,Ginkgo biloba L.,은행나무,1,285,20,400,,시·군나무,답,,,,충청남도 홍성군 장곡면 산성리 392,36.4977645,126.7422932,2023-12-31
X,홍성군청,8-12-9-244,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,285,15,360,,시·군나무,대,,,,충청남도 홍성군 서부면 양곡리 249,36.5567818,126.4977347,2023-12-31
X,홍성군청,8-12-9-242,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,285,18,320,,시·군나무,대,,,,충청남도 홍성군 서부면 판교리 25,36.5515614,126.5249776,2023-12-31
X,홍성군청,12-Jan,2012-02-06,,거목,버드나무,Salix koreensis Andersson,버드나무,1,278,20,610,,시·군나무,임야,,,,충청남도 홍성군 장곡면 산성리 산28-1,36.4934525,126.7354631,2023-12-31
X,홍성군청,8-12-5-230,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,264,15,420,,시·군나무,임야,,,,충청남도 홍성군 홍동면 신기리산 176-1,36.5856877,126.7054492,2023-12-31
X,홍성군청,8-12-8-239,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,264,20,330,,시·군나무,임야,,,,충청남도 홍성군 결성면 교항리 240,36.5800273,126.5411623,2023-12-31
X,홍성군청,8-12-4-223,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,260,25,400,,시·군나무,전,,,,충청남도 홍성군 금마면 용흥리208,36.5916995,126.7299634,2023-12-31
X,홍성군청,10-Mar,2010-10-11,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,260,20,380,,시·군나무,전,,,,충청남도 홍성군 금마면 용흥리 493-1,36.582232,126.7244699,2023-12-31
X,홍성군청,8-12-4-7-292,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,255,21,600,,시·군나무,전,,,,충청남도 홍성군 금마면 용흥리370,36.5881983,126.7199892,2023-12-31
X,홍성군청,8-12-9-6-309,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,255,12,520,,시·군나무,임야,,,,충청남도 홍성군 서부면 어사리 산8-1,36.5666035,126.5033482,2023-12-31
X,홍성군청,8-12-9-6-308,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,255,12,400,,시·군나무,임야,,,,충청남도 홍성군 서부면 어사리 산8-1,36.5666035,126.5033482,2023-12-31
X,홍성군청,8-12-1-1-283,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,255,13,340,,시·군나무,대,,,,충청남도 홍성군 홍성읍 오관리98,36.6013022,126.6586968,2023-12-31
X,홍성군청,8-12-2-8-287,1982-10-01,,거목,팽나무,Celtis sinensis Pers.,팽나무,1,255,20,250,,시·군나무,전,,,,충청남도 홍성군 광천읍 벽계리 448-1,36.5341708,126.6241528,2023-12-31
X,홍성군청,12-Feb,2012-02-06,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,255,18,240,,시·군나무,임야,,,,충청남도 홍성군 서부면 판교리 산95-1,36.5522839,126.5278076,2023-12-31
X,홍성군청,8-12-10-7-316,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,255,16,230,,시·군나무,전,,,,충청남도 홍성군 갈산면 쌍천리 64-1,36.5945375,126.5793451,2023-12-31
X,홍성군청,8-12-1-209,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,254,24,370,,시·군나무,대,,,,충청남도 홍성군 홍성읍 오관리98,36.6013022,126.6586968,2023-12-31
X,홍성군청,8-12-5-227,1982-10-01,,거목,느릅나무,Ulmus davidiana var. japonica (Rehder) Nakai,느릅나무,1,254,20,300,,시·군나무,전,,,,충청남도 홍성군 홍동면 운월리 598-2,36.5503925,126.6791485,2023-12-31
X,홍성군청,8-12-6-15-296,1982-10-01,,거목,은행나무,Ginkgo biloba L.,은행나무,1,254,12,200,,시·군나무,전,,,,충청남도 홍성군 장곡면 대현리254,36.5074621,126.7268053,2023-12-31
X,홍성군청,8-12-4-224,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,252,15,320,,시·군나무,전,,,,충청남도 홍성군 금마면 부평리 100,36.6121462,126.7315167,2023-12-31
X,홍성군청,8-12-8-238,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,250,18,420,,시·군나무,대,,,,충청남도 홍성군 결성면 형산리 189-6,36.5715482,126.5654576,2023-12-31
X,홍성군청,8-12-5-228,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,250,25,410,,시·군나무,임야,,,,충청남도 홍성군 홍동면 월현리557-3,36.5566921,126.6714837,2023-12-31
X,홍성군청,8-12-8-237,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,250,20,370,,시·군나무,전,,,,충청남도 홍성군 서부면 중리 188-1,36.5844625,126.5194083,2023-12-31
X,홍성군청,8-12-3-13-290,1982-10-01,,거목,버드나무,Salix koreensis Andersson,버드나무,1,250,20,320,,시·군나무,도로,,,,충청남도 홍성군 홍북면 노은리333-1,36.6448485,126.7160513,2023-12-31
X,홍성군청,8-12-2-213,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,250,20,270,,시·군나무,도로,,,,충청남도 홍성군 광천읍 소암리 149-1,36.5116494,126.6388927,2023-12-31
X,홍성군청,18-Jan,2018-07-04,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,250,15,260,,시·군나무,임야,,,,충청남도 홍성군 홍동면 신기리 산118-2,36.5757083,126.7071965,2023-12-31
X,홍성군청,8-12-4-7-293,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,250,22,250,,시·군나무,대,,,,충청남도 홍성군 금마면 용흥리80,36.5138464,126.6074443,2023-12-31
X,홍성군청,13-May,2013-09-05,,거목,말채나무,Cornus walteri F.T.Wangerin,말채나무,1,250,16,230,,시·군나무,임야,,,,충청남도 홍성군 광천읍 옹암리 산26,36.4883783,126.6169634,2023-12-31
X,홍성군청,10-May,2010-10-11,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,250,10,230,,시·군나무,도로,,,,충청남도 홍성군 은하면 금국리 735,36.5621925,126.5662068,2023-12-31
X,홍성군청,22-Aug,2022-02-07,,거목,향나무,Juniperus chinensis,향나무,1,250,7,198,,시·군나무,구거,,,,충청남도 홍성군 홍북읍 대인리 722,36.638313,126.738203,2023-12-31
X,홍성군청,06-Jan,2006-09-20,,거목,버드나무,Salix koreensis Andersson,버드나무,1,250,20,180,,시·군나무,답,,,,충청남도 홍성군 홍북면 용산리133-7,36.635482,126.7017354,2023-12-31
X,홍성군청,18-Feb,2018-07-04,,거목,모과나무,Chaenomeles sinensis Koehne,모과나무,1,250,8,130,,시·군나무,과수원,,,,충청남도 홍성군 결성면 읍내리 701-2,36.5258122,126.5405326,2023-12-31
X,홍성군청,8-12-10-8-317,1982-10-01,,거목,팽나무,Celtis sinensis Persoon,팽나무,5,245,14,230,,시·군나무,도로,,,,충청남도 홍성군 갈산면 행산리 311-1,36.5977128,126.5426202,2023-12-31
X,홍성군청,13-Feb,2013-09-05,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,240,15,180,,시·군나무,대,,,,충청남도 홍성군 홍성읍 오관리 98,36.6013022,126.6586968,2023-12-31
X,홍성군청,8-12-11-1-320,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,230,16,220,,시·군나무,임야,,,,충청남도 홍성군 구항면 오봉리산54-4,36.6043303,126.6091923,2023-12-31
X,홍성군청,8-12-7-4-301,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,208,18,280,,시·군나무,대,,,,충청남도 홍성군 은하면 대율리 116-1,36.552203,126.5881913,2023-12-31
X,홍성군청,8-12-7-6-302,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,206,15,280,,시·군나무,대,,,,충청남도 홍성군 은하면 학산리 323,36.5417431,126.5717926,2023-12-31
X,홍성군청,8-12-7-1-298,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,17,460,,시·군나무,대,,,,충청남도 홍성군 은하면 대천리64,36.5297104,126.5914771,2023-12-31
X,홍성군청,8-12-2-10-288,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,13,320,,시·군나무,대,,,,충청남도 홍성군 광천읍 옹암리 277-2,36.4935245,126.6213776,2023-12-31
X,홍성군청,8-12-7-11-303,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,20,250,,시·군나무,대,,,,충청남도 홍성군 은하면 장척리114,36.4905524,126.6103233,2023-12-31
X,홍성군청,8-12-10-14-318,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,20,250,,시·군나무,답,,,,충청남도 홍성군 갈산면 운곡리 394-1,36.6199433,126.5502737,2023-12-31
X,홍성군청,8-12-7-1-299,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,204,15,270,,시·군나무,대,,,,충청남도 홍성군 은하면 장곡리 310-4,36.5525872,126.6060865,2023-12-31
X,홍성군청,8-12-11-1-319,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,202,15,260,,시·군나무,전,,,,충청남도 홍성군 구항면 오봉리216,36.6012555,126.6105785,2023-12-31
X,홍성군청,18-Apr,2018-07-04,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,200,12,190,,시·군나무,종교용지,,,,충청남도 홍성군 결성면 형산리 30-3,36.5772362,126.5755411,2023-12-31
X,홍성군청,22-Aug,2022-02-07,,거목,모과나무,Chaenomeles sinensis Koehne,모과나무,1,200,11,163,,시·군나무,전,,,,충청남도 홍성군 홍북읍 대인리 125,36.643098,126.738891,2023-12-31
X,홍성군청,8-12-9-9-312,1982-10-01,,거목,팽나무,Celtis sinensis Pers.,팽나무,1,180,15,160,,시·군나무,대,,,,충청남도 홍성군 서부면 양곡리 249,36.5567818,126.4977347,2023-12-31
X,홍성군청,8-12-9-10-315,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,175,12,340,,시·군나무,대,,,,충청남도 홍성군 서부면 판교리479,36.5431302,126.5281742,2023-12-31
X,홍성군청,8-12-8-9-306,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,169,25,430,,시·군나무,대,,,,충청남도 홍성군 결성면 용호리 613,36.5735736,126.5434777,2023-12-31
X,홍성군청,8-12-8-4-304,1982-10-01,,거목,팽나무,Celtis sinensis Pers.,팽나무,1,155,15,170,,시·군나무,대,,,,충청남도 홍성군 결성면 금곡리 462-1,36.5247634,126.5534314,2023-12-31
